Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,busca
"Sunlight and vitamin D for bone health and prevention of autoimmune diseases, cancers, and cardiovascular disease","Holick, MF",,,,AMERICAN JOURNAL OF CLINICAL NUTRITION,DEC 2004,2004,80.0,6,,S,,1678S,1688S,,10.1093/ajcn/80.6.1678S,Conference on Vitamin D and Health in the 21st Century,"OCT 09-10, 2003",1843,87.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,66,65,100,84,122,124,113,132,107,98,105,106,98,117,109,126,88,62,0,1
"MCCOLLUM AWARD LECTURE, 1994 - VITAMIN-D - NEW HORIZONS FOR THE 21ST-CENTURY","HOLICK, MF",,,,AMERICAN JOURNAL OF CLINICAL NUTRITION,OCT 1994,1994,60.0,4,,,,619,630,,10.1093/ajcn/60.4.619,,,475,15.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,8,12,16,13,12,15,17,18,27,17,21,32,19,24,20,23,27,21,19,21,13,12,16,8,11,10,8,0,1
ENVIRONMENTAL-FACTORS THAT INFLUENCE THE CUTANEOUS PRODUCTION OF VITAMIN-D,"HOLICK, MF",,,,AMERICAN JOURNAL OF CLINICAL NUTRITION,MAR 1995,1995,61.0,3,,S,,638S,645S,,10.1093/ajcn/61.3.638S,"Symposium on Nutrition and Environmental Health, at Experimental Biology 94","APR 24-26, 1994",411,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,14,9,8,11,8,6,17,14,13,20,16,28,15,26,24,21,19,22,19,21,16,16,16,12,9,0,1
Factors Influencing Vitamin D Status,"Tsiaras, William G.; Weinstock, Martin A.",,,,ACTA DERMATO-VENEREOLOGICA,2011,2011,91.0,2,,,,115,124,,10.2340/00015555-0980,,,298,21.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,21,30,24,24,25,21,28,24,32,28,24,0,1
Vitamin D and bone health,"Holick, MF",,,,JOURNAL OF NUTRITION,APR 1996,1996,126.0,4,,S,,S1159,S1164,,10.1093/jn/126.suppl_4.1159S,1995 American-Institute-of-Nutrition Annual Meeting,"APR 09-13, 1995",214,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,6,8,3,11,4,6,5,6,2,4,12,5,9,10,7,18,14,14,11,8,14,10,4,7,0,1
Current sunscreen controversies: a critical review,"Burnett, Mark E.; Wang, Steven Q.",,,,PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,APR 2011,2011,27.0,2,,,,58,67,,10.1111/j.1600-0781.2011.00557.x,,,199,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,18,17,19,25,20,14,15,15,9,12,11,1,1
"Sunlight, UV-radiation, vitamin D and skin cancer: How much sunlight do we need?","Holick, Michacl F.",,,"Reichrath, J","SUNLIGHT, VITAMIN D AND SKIN CANCER",2008,2008,624.0,,,,,1,15,,,,,133,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,13,4,10,7,5,8,9,10,15,10,14,4,9,0,1
Does chronic sunscreen use reduce vitamin D production to insufficient levels?,"Norval, M.; Wulf, H. C.",,,,BRITISH JOURNAL OF DERMATOLOGY,OCT 2009,2009,161.0,4,,,,732,736,,10.1111/j.1365-2133.2009.09332.x,,,126,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,14,12,7,7,10,8,6,10,6,6,6,5,0,1
Optimal vitamin D status for the prevention and treatment of osteoporosis,"Holick, Michael F.",,,,DRUGS & AGING,2007,2007,24.0,12,,,,1017,1029,,10.2165/00002512-200724120-00005,,,115,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,14,7,14,12,4,7,8,6,2,10,5,3,2,0,1
Prevalence of Vitamin D Insufficiency in Brazilian Adolescents,"Emo Peters, Barbara Santarosa; dos Santos, Luana Caroline; Fisberg, Mauro; Wood, Richard James; Martini, Ligia Araujo",,,,ANNALS OF NUTRITION AND METABOLISM,2009,2009,54.0,1,,,,15,21,,10.1159/000199454,,,92,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,8,13,6,4,4,12,6,7,4,2,4,3,0,1
