file_name,md5sum,page_count,char_count,size,doi,title,source
busca__final/e191b1551b540f20f3eec8779bedaa91.pdf,e191b1551b540f20f3eec8779bedaa91,11,66547,353376,10.1093/ajcn/80.6.1678S,"Sunlight and vitamin D for bone health and prevention of autoimmune diseases, cancers, and cardiovascular disease",AMERICAN JOURNAL OF CLINICAL NUTRITION
busca__final/84e018e77c6b5a5df94845286ce8e2e7.pdf,84e018e77c6b5a5df94845286ce8e2e7,10,54980,573256,10.2340/00015555-0980,Factors Influencing Vitamin D Status,ACTA DERMATO-VENEREOLOGICA
busca__final/1d9eecbac010038b00fd49fc723ac849.pdf,1d9eecbac010038b00fd49fc723ac849,6,25829,729038,10.1093/jn/126.suppl_4.1159S,Vitamin D and bone health,JOURNAL OF NUTRITION
busca__final/a73cde75ee13f2f842f26613e088c9f6.pdf,a73cde75ee13f2f842f26613e088c9f6,10,64309,118805,10.1111/j.1600-0781.2011.00557.x,Current sunscreen controversies: a critical review,PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE
busca__final/60ce646b4abe66ca04a6a81eb229c559.pdf,60ce646b4abe66ca04a6a81eb229c559,7,36115,232020,10.1159/000199454,Prevalence of Vitamin D Insufficiency in Brazilian Adolescents,ANNALS OF NUTRITION AND METABOLISM
busca__final/61d6080b9e108ca76a5fc61655d4d804.pdf,61d6080b9e108ca76a5fc61655d4d804,11,48425,272142,10.1007/s00431-013-2119-z,Vitamin D status and predictors of hypovitaminosis D in Italian children and adolescents: a cross-sectional study,EUROPEAN JOURNAL OF PEDIATRICS
busca__final/a8f390e94f777cab38c1a4be17843f41.pdf,a8f390e94f777cab38c1a4be17843f41,9,39897,442641,10.1186/1824-7288-40-54,Prevalence of hypovitaminosis D and predictors of vitamin D status in Italian healthy adolescents,ITALIAN JOURNAL OF PEDIATRICS
busca__final/4d1025c87bb647e057b97df015ecc633.pdf,4d1025c87bb647e057b97df015ecc633,8,66175,302362,10.1016/j.prrv.2011.07.003,Vitamin D and Asthma in Children,PAEDIATRIC RESPIRATORY REVIEWS
busca__final/281d431a6c85151491f93be56b04b862.pdf,281d431a6c85151491f93be56b04b862,6,20424,102041,10.1111/j.1740-8709.2008.00157.x,"Vitamin D insufficiency common in newborns, children and pregnant women living in Newfoundland and Labrador, Canada",MATERNAL AND CHILD NUTRITION
busca__final/ebcded49430aee31db3f4cf436fa5e41.pdf,ebcded49430aee31db3f4cf436fa5e41,7,38839,130889,10.1038/oby.2009.448,"Serum 25-Hydroxyvitamin D Concentration, Life Factors and Obesity in Mexican Children",OBESITY
